Bacillus subtilis,Bradyrhizobium sp. BTAi1,Listeria monocytogenes,Enterococcus faecalis,Cupriavidus metallidurans,Bradyrhizobium sp. SK17,Lactobacillus fermentum,Bradyrhizobium sp. S23321,Salmonella enterica,Brevundimonas sp. DS20,Cutibacterium acnes,Gordonia terrae,Gordonia bronchialis,Ralstonia pickettii,Gordonia sp. KTR9,Streptococcus oralis,Chroococcidiopsis thermalis,Propionibacterium virus Pirate,Methylobacterium sp. C1,Pseudomonas fluorescens,Carnobacterium inhibens,Pantoea sp. PSNIH1,Bradyrhizobium diazoefficiens,Brevundimonas sp. GW460-12-10-14-LB2,Chryseobacterium taklimakanense,Bradyrhizobium japonicum,Methylobacterium radiotolerans,Thermothelomyces thermophila,Bradyrhizobium sp.,Brevundimonas vesicularis,Acinetobacter junii,Gordonia phage Phinally,Streptococcus mitis,Thielavia terrestris,Bradyrhizobium sp. CCGE-LA001,Brevundimonas sp. LM2,Brevundimonas subvibrioides,Acinetobacter schindleri,Human mastadenovirus C,Candida dubliniensis,Saccharomyces cerevisiae,Alteromonas macleodii,Rhodococcus fascians,Paucibacter sp. KCTC 42545,Veillonella parvula,Pseudomonas aeruginosa,Leishmania major,Microlunatus phosphovorus,Brevundimonas naejangsanensis,Enterococcus faecium
0.007558145,0.005918026,0.002959261,0.00595871,0.002756205,0.005809637,0.002885983,0.001129586,0.002596134,0.001123203,0.003227864,0.004440884,0.002120422,0.002709551,0.002612661,0.003029704,0.001657721,0.000620024,0.002201002,0.001106184,0.00084334,0.003183272,0.0009112,0.001686846,0.001874711,0.002443667,0.004450733,0.001397817,0.001889656,0.00171191,0.003743225,0.000890819,0.000825485,0.003304309,0.001219485,0.005085911,0.002772277,0.001197854,0.001048338,0.002524355,0.002668228,0.003854028,0.001754492,0.003676485,0.002684598,0.001890796,0.002905698,0.002131254,0.003494677,0.000678277
0.004513201,0.003986843,0.004381078,0.002409921,0.003542606,0.001683615,0.003101976,0.000967885,0.001847971,0.002742018,0.001451896,0.001936462,0.006124393,0.001550369,0.005187503,0.002729725,0.001301351,0.00646543,0.00413771,0.00300049,0.000579978,0.002328649,0.004069629,0.003445769,0.002125886,0.001944829,0.001386799,0.003105983,0.000665818,0.00181819,0.001136197,0.003196923,0.002846973,0.001475962,0.004420481,0.002538216,0.003606746,0.001035335,0.005844289,0.003112944,0.001015738,0.001309604,0.004046547,0.001135941,0.004768746,0.00194023,0.001794199,0.002305122,0.000841027,0.001257506
0.004798722,0.001355012,0.003568208,0.00288864,0.0043511,0.002473011,0.003136355,0.003845652,0.002643056,0.002616929,0.001852354,0.002466007,0.003594036,0.001660386,0.001317281,0.002077378,0.001290736,0.002191229,0.000897519,0.002302266,0.002096569,0.003381753,0.000939961,0.002269181,0.001249488,0.001973454,0.003917802,0.001914338,0.002305485,0.00294529,0.004620588,0.002000376,0.00441763,0.001566975,0.001545423,0.000707378,0.001501594,0.001984206,0.002114485,0.002639262,0.003515518,0.003640323,0.002362132,0.003852754,0.000241137,0.002347601,0.00243502,0.000989018,0.001398295,0.002077246
0.01054659,0.008079488,0.004169999,0.002849844,0.003216331,0.003982546,0.00301453,0.001278494,0.003655954,0.001147173,0.004441659,0.008323904,0.002587758,0.001765494,0.003666384,0.002426842,0.001445822,0.001852965,0.001054629,0.003589164,0.00219592,0.003115613,0.000919411,0.001594108,0.000389697,0.001145902,0.00227731,0.002489342,0.001231932,0.00067541,0.002642098,1.62E-05,0.003924693,0.000966496,0.001624025,0.006973645,0.001390805,0.001413747,0.001116504,0.002087457,0.001095064,0.003471585,0.001435528,0.000412736,0.002154556,0.001810093,0.002199287,0.001824136,0.001813936,0.003885009
0.008203551,0.003581881,0.003725798,0.005857978,0.006562984,0.002065084,0.003744782,0.006290729,0.002452561,0.001888515,0.001797434,0.003737806,0.001434924,0.001906135,0.005366331,0.00656748,0.004136088,0.001312537,0.006822023,0.00161158,0.002051878,0.002080787,0.002576379,0.003647704,0.001770769,0.006219848,0.001016629,0.001305074,0.000685935,0.004695184,0.001653664,0.002411868,0.001182729,0.002719493,0.000589795,0.003545512,0.001061803,0.002304584,0.003687882,0.00106542,0.002487158,0.000663781,0.002281553,0.000767232,0.001730141,0.002037098,0.000966863,0.000829609,0.00093839,0.00051642
0.004378649,0.00820501,0.003494518,0.002965599,0.003943132,0.004506715,0.003981167,0.004242831,0.002174633,0.001246255,0.001573839,0.003229879,0.004416337,0.00225446,0.001360753,0.001311465,0.00203304,0.005037429,0.000793757,0.003167561,0.000588805,0.001767325,0.003897784,0.003300088,0.001951533,0.006142418,0.001507608,0.002201661,0.001151301,0.003736155,0.000941005,0.00039157,0.000988392,0.001369683,0.001154306,0.002124818,0.00256822,0.003763618,0.006063519,0.002188312,0.001456121,0.002245214,0.001334611,0.001456646,0.002161678,0.002649188,0.003299164,0.001679558,0.000916866,0.001057202
0.007491948,0.001542358,0.004879683,0.007676611,0.009969316,0.001841188,0.003170547,0.002417193,0.001896757,0.001050961,0.002603227,0.003025871,0.002287571,0.008193466,0.003159265,0.001940787,0.002279368,0.001073193,0.001338177,0.00177533,0.000459761,0.001668944,0.002154355,0.002568992,0.003556749,0.002359135,0.002041601,0.00239023,0.002306216,0.003269574,0.002879628,0.003629884,0.002553774,0.003994606,0.003612958,0.002069537,0.001747809,0.001185265,0.00061988,0.00262191,0.001564924,0.000719592,0.002698014,0.000866096,0.001076569,0.002214398,0.000784675,0.000981986,0.001361187,0.002620522
0.004239317,0.002581168,0.006497615,0.005069386,0.001906589,0.001867108,0.003197601,0.002451716,0.001547776,0.002020491,0.001385701,0.00510255,0.001927658,0.004445518,0.005161343,0.004263523,0.001795552,0.000780158,0.001845583,0.004041326,0.000485502,0.001142176,0.001333057,0.00137469,0.001765778,0.001472764,0.003445943,0.001511917,0.001202313,0.002341585,0.001036613,0.004209738,0.000917438,0.001956016,0.000550198,0.00051706,0.003449614,0.002230146,0.001958223,0.003050592,0.00387442,0.000947136,0.001017146,0.002013461,0.000411771,0.002414729,0.001183274,0.003492765,0.000876802,0.001130408
0.004551963,0.002616988,0.004268487,0.004014793,0.009640112,0.00169226,0.003321171,0.005653765,0.002116673,0.001493912,0.002467447,0.006261497,0.00196307,0.002703299,0.001904018,0.00786267,0.002115506,0.005879478,0.003988992,0.00410919,0.000557911,0.002993953,0.000814014,0.001681096,0.002759403,0.00125586,0.004171475,0.001633599,0.004476424,0.001706388,0.002890504,0.002472626,0.002391579,0.001677888,0.001879075,0.002494036,0.005666036,0.002452141,0.003502279,0.001177584,0.002494078,0.001761715,0.001258119,0.003381701,0.000386552,0.001769795,0.003075516,0.001392925,0.002938115,0.001188843
0.005961705,0.00301697,0.006031606,0.004333058,0.00369704,0.00598373,0.002592103,0.002930138,0.003336942,0.000857263,0.002383046,0.004202442,0.001941193,0.003379287,0.00430572,0.003512879,0.004739716,0.00126771,0.002364666,0.002179163,0.001333996,0.002520912,0.001100842,0.006383713,0.001688817,0.001825388,0.001715737,0.004480757,0.002786768,0.002513965,0.003955253,0.0013906,0.001645513,0.000819187,0.001384078,0.001397524,0.002207697,0.000784787,0.001260979,0.002469458,0.002746212,0.005295138,0.00196885,0.000878168,0.001195505,0.002562782,0.001429682,0.002864184,0.002582991,0.001016446
0.008559299,0.01062734,0.004733665,0.003484849,0.011528428,0.005492225,0.002443131,0.001006124,0.002873,0.001199072,0.002636199,0.001289347,0.004897852,0.001386143,0.000668272,0.007121474,0.003573296,0.008510492,0.001236872,0.001806336,0.001195155,0.003883993,0.001229052,0.004048659,0.002624604,0.001528893,0.001597168,0.003045768,0.001409975,0.002675553,0.002377941,0.003424733,0.000812375,0.003208319,0.001077337,0.001973293,0.001781663,0.002913328,0.000732374,0.000918908,0.002788848,0.001489069,0.003337084,0.001364484,0.001750192,0.001451196,0.002188959,0.001877174,0.001505525,0.000569255
0.005410992,0.001849047,0.008237206,0.004561799,0.005594828,0.006095855,0.003170081,0.002003425,0.003307579,0.00383611,0.003920783,0.003714152,0.001299763,0.00397275,0.002160374,0.003663034,0.003870661,0.000986437,0.004517673,0.000809289,0.004734712,0.000850153,0.002550571,0.001026717,0.001444135,0.001392556,0.000636962,0.002194557,0.001005604,0.000950417,0.000858642,0.000943486,0.000645671,0.002171438,0.001526764,0.000510395,0.002522818,0.003551162,0.001481704,0.001901688,0.002497122,0.003086131,0.001697361,0.000943504,0.003084842,0.001878577,0.001931678,0.001822547,0.004553821,0.001667204
0.004195777,0.002562296,0.002729336,0.002320961,0.002221411,0.008493703,0.005917045,0.001960371,0.003257502,0.003173016,0.003987325,0.007570301,0.002291176,0.002087834,0.001729717,0.002894866,0.001847835,0.001678986,0.00380305,0.002038156,0.002540249,0.00138832,0.003425258,0.003343411,0.002597303,0.000887146,0.001218993,0.002852742,0.002062504,0.003135116,0.001392384,0.000299113,0.002718533,0.00152812,0.001649091,0.0010491,0.000536114,0.001706104,0.000138701,0.001121789,0.001476276,0.00292651,0.001750906,0.001187472,0.000662081,0.001827692,0.001818827,0.0016416,0.001132884,0.000530553
0.005577536,0.003884966,0.005491061,0.00398483,0.002967013,0.002989346,0.003291082,0.002192715,0.004148416,0.00365329,0.001122759,0.005326329,0.001348131,0.001844212,0.006170344,0.001965024,0.001062484,0.001859064,0.005539781,0.002175741,0.000820911,0.002964162,0.001122618,0.001622445,0.002997852,0.002323085,0.002455762,0.003470769,0.004146915,0.004030584,0.00215766,0,0.00121267,0.001086568,0.002485475,0.00150438,0.00039368,0.002475157,0.001560388,0.001197377,0.003383776,0.001159801,0.001406972,0.001429403,0.0038474,0.002383718,0.002289132,0.000824133,0.001692501,0.001290402
0.007903432,0.003766695,0.00438343,0.002123783,0.008893706,0.001351258,0.003344314,0.003569854,0.003507351,0.011558962,0.003030213,0.004378094,0.001453791,0.0041787,0.001044981,0.00155935,0.002036931,0.000631424,0.005095436,0.0022744,0.003527718,0.002892459,0.002130621,0.004587401,0.002468977,0.001715322,0.003665183,0.001064842,0.000818573,0.00165438,0.001561939,0.003151114,0.001058072,0.004003336,0.00085129,0.002077267,0.000627819,0.003176413,0.001226096,0.001238599,0.001037489,0.000397691,0.001173552,0.000608726,0.002738972,0.001822093,0.002111291,0.003302167,0.000996141,0.001247788
0.008827995,0.002288796,0.004702386,0.005534816,0.006587842,0.002642023,0.002629221,0.002215044,0.002344149,0.005474713,0.004562806,0.000709843,0.006051797,0.002136126,0.003889807,0.001093951,0.001787348,0.000340371,0.001595827,0.003471669,0.001955878,0.001826091,0.002171374,0.001677348,0.002177933,0.0015008,0.00445217,0.001523905,0.004644786,0.001630606,0.001772711,0.001621477,0.00235462,0.003561818,0.000860851,0.002650396,0.000809979,0.001045465,0.003671116,0.002947538,0.001015188,0.002467793,0.001055384,0.005888289,0.005493762,0.002260874,0.000495257,0.002138598,0.001349725,0.00313027
0.003616844,0.002914144,0.008048616,0.00399242,0.003079116,0.002067894,0.003703827,0.001059174,0.003056181,0.002817843,0.003791811,0.003342552,0.002399241,0.001084782,0.001737111,0.00475093,0.002084754,0.000422285,0.002358099,0.002646694,0.001090899,0.002892061,0.003420708,0.005574667,0.001153893,0.001203275,0.00243629,0.001494235,0.005889099,0.000138301,0.001707384,0.009212708,0.003044823,0.001889379,0.001352558,0.000802468,0.003041253,0.001885975,0.001629774,0.001796277,0.002542743,0.00286126,0.001502419,0.000832982,0.00104784,0.001006439,0.000905023,0.002967505,0.003303248,0.001937622
0.005240847,0.002121254,0.0083316,0.005508009,0.003183658,0.00247865,0.003449464,0.002536478,0.002312161,0.002370386,0.001118671,0.004347471,0.00270454,0.005081561,0.004843444,0.002914333,0.002750504,0.00053542,0.001721632,0.000889729,0.001140804,0.002452631,0.001278664,0.003221106,0.004811008,0.004265914,0.001467808,0.002173658,0.003632741,0.001458659,0.002293491,0.00074853,0.000484555,0.003910883,0.002105953,0.005555051,0.001367481,0.000539377,0.00060654,0.001701248,0.002382491,0.002197771,0.002267267,0.003397513,0.000482776,0.002597881,0.003716305,0.002447277,0.000544656,0.002477786
0.004875038,0.001249912,0.001984329,0.008016578,0.002001799,0.001531444,0.003783052,0.004952227,0.003438428,0.004246643,0.002803069,0.004593099,0.003162882,0.001196742,0.000887052,0.004936367,0.002173775,0.006579985,0.007829687,0.002176299,0.003230938,0.002832884,0.003503677,0.001936334,0.002164607,0.003452032,0.004065704,0.003234907,0.003898581,0.001173437,0.002036079,0.002995387,0.002062898,0.002884473,0.000843945,0.001732173,0.001979467,0.003832009,0.00031675,0.002689205,0.003760929,0.001914623,0.002297466,0.00102391,0.001415297,0.001000539,0.001135196,0.00154171,0.001724796,0.003167974
0.010447366,0.001558787,0.003230367,0.002875066,0.006169952,0.004818916,0.002618804,0.001421751,0.003986725,0.002400314,0.002193956,0.001353658,0.002293665,0.001925078,0.001486633,0.002495175,0.002651529,0.004333512,0.001102678,0.001689206,0.003949963,0.002707837,0.001387639,0.002884282,0.001339847,0.001844942,0.001289461,0.001727405,0.002105642,0.002097194,0.001770445,0.000544638,0.001755194,0.001071436,0.001372386,0.000777808,0.002354792,0.002764591,0.003678985,0.001374989,0.001707096,0.000230968,0.001399401,0.004024004,0.001444775,0.001204084,0.001954311,0.001353224,0.001034557,0.002179357
