Bradyrhizobium sp. BTAi1,Cupriavidus metallidurans,Methylobacterium sp. C1,Methylobacterium radiotolerans,Bradyrhizobium sp. SK17,Bradyrhizobium sp. S23321,Bradyrhizobium diazoefficiens,Carnobacterium inhibens,Ralstonia pickettii,Bradyrhizobium japonicum,Bradyrhizobium sp. CCGE-LA001,Methylobacterium populi,Methylobacterium oryzae,Bradyrhizobium sp.,Methylobacterium phyllosphaerae,Leuconostoc carnosum,Paucibacter sp. KCTC 42545,Methylobacterium extorquens,Mitsuaria sp. 7,Roseateles depolymerans,Rhodococcus fascians,Cutibacterium acnes,Streptococcus oralis,Erwinia billingiae,Jeotgalibacillus malaysiensis,Pseudomonas rhizosphaerae,Bradyrhizobium sp. ORS 278,Carnobacterium sp. 17-4,Pantoea agglomerans,Erwinia gerundensis,Rhodococcus sp. PBTS 2,Chroococcidiopsis thermalis,Methanobrevibacter millerae,Cupriavidus basilensis,Streptococcus mitis,Bradyrhizobium sp. ORS 285,Exiguobacterium sibiricum,Bradyrhizobium oligotrophicum,Streptococcus gordonii,Bacillus subtilis,Streptococcus parasanguinis,Rathayibacter tritici,Turicibacter sp. H121,Pantoea sp. PSNIH2,Methylobacterium sp. AMS5,Carnobacterium maltaromaticum,Listeria monocytogenes,Brevundimonas vesicularis,Pantoea sp. PSNIH1,Devosia sp. H5989
0.014561978,0.001224848,0.002116334,0.004365733,0.001329071,0.0109429,0.005633089,0.00267285,0.008676054,0.004624977,0.002141332,0.001942061,0.001742494,0.00277428,0.000240005,0.006495029,0.007383305,0.001660475,0.001349812,0.002158876,0.00565124,0.005989811,0.004070967,0.001701012,0.003906843,0.004293553,0.000106331,0.00249747,0.00488114,0.001226793,0.000930152,0.001444739,0.003510593,0.000893252,0.00102051,0.000235889,0.00414755,0.000569363,0.001896542,0.004696418,0.003871202,0.000749673,0.001471245,0.00246501,0.000287709,0.000609959,0.006098971,0.001171901,0.001617558,0.000845462
0.006661954,0.005063344,0.004581503,0.008973401,0.002427034,0.005647412,0.001653853,0.001322992,0.002522361,0.000646594,0.000854831,0.011075361,0.000555609,0.013892305,0.002681703,0.006565506,0.001374755,0.000476083,0.003941732,0.001361003,0.002446558,0.006911037,0.001135056,0.001253639,0.003470158,0.001669926,0.00602529,0.001711115,0.002061723,0.00561919,0.000959787,0.006916731,0.001254607,0.00045356,0.004088288,0.000821913,0.002986712,0.001106279,0.001760223,0.002099458,0.000942647,0.001955916,0.000490355,0.002269254,0.000381262,0.006074585,0.001204823,0.001547888,0.002022456,0.000192168
0.002483187,0.005270111,0.004874001,0.0016938,0.009013104,0.001696408,0.003641553,0.008279689,0.001338905,0.001371849,0.017223257,0.001820913,0.001354915,0.001865359,0.009414752,0.000652995,0.009161093,0.007784845,0.000636749,0.000340199,0.002962509,0.004237126,0.00072473,0.001392563,0.002686639,0.006722363,0.00748591,0.008910042,0.003077074,0.000359056,0.005384356,0.001504327,0.001428666,0.000825322,0.001594334,0.000432608,0.007718444,0.000562795,0.000944918,0.001597984,0.00360626,0.002429074,0.000215819,0.000988654,0.012372971,0.003740384,0.001016563,0.001058398,0.001959402,6.25E-05
0.001632984,0.027911598,0.001649115,0.001424927,0.001620017,0.00409082,0.00837973,0.001254452,0.002445227,0.001083215,0.000622802,0.008679624,0.008222949,0.001189656,0.000893271,0.001191241,0.007935647,0.003580895,0.001710074,0.01355545,0.002279102,0.002889776,0.006805177,0.004974372,0.001428256,0.002592009,0.000842933,0.001503167,0.00205749,0.001876356,0.001414882,0.001839351,0.00478692,0.000538796,0.00076723,0.006912606,0.001899869,0.006851852,0.000336746,0.003106164,0.005838261,3.49E-05,0.000845434,0.002164726,0.000906993,7.35E-05,0.001600775,0.000555845,0.001098013,0.000722248
0.016829057,0.010665501,0.003049614,0.000639096,0.008852292,0.002120486,0.001327118,0.006795818,0.000206242,0.008820435,0.000713975,0.001803536,0.011456829,0.01543714,0.001117096,0.002582106,0.008352581,0.001395893,0.001318554,0.007484634,0.004235152,0.001949449,0.004034569,0.003004599,0.001776916,0.001042522,0.00614079,0.001266641,0.001558113,0.003963706,0.002131667,0.001109476,0.006154895,0.000212136,0.00102829,0.001058392,0.00139577,0.001177,0.000517882,0.00118302,0.005779776,0.000340358,0.002548146,0.004972894,0.001754066,0.00452593,0.000635061,0.002360033,0.001342315,0.00115707
0.014503039,0.012896764,0.010251047,0.000860006,0.00321811,0.001146889,0.003798998,0.001757554,0.002239363,0.018596241,0.005307816,0.000610678,0.001889394,0.008845975,0.001675038,0.002198234,0.002022457,0.001560782,0.000307355,0.000248186,0.001418221,0.00120825,0.001056527,0.000554414,0.005174573,0.003424966,0.006257204,0.000454373,0.001155309,0.002195155,0.000668248,0.003659682,0.002866428,0.006444657,0.002166558,0.000250374,0.002054022,0.000171538,0.002614571,0.002409144,0.001601239,0.00126166,0.003870787,0.000540173,0.000555866,0.001174233,0.00073699,0.001536371,0.00083687,0.00603895
0.004811566,0.002188613,0.003459409,0.011671675,0.000993365,0.007466254,0.001523391,0.005161403,0.008783326,0.002419982,0.001971223,0.008572904,0.001901366,0.001139533,0.010153252,0.00147493,0.000553348,0.013623245,0.007647996,0.001752375,0.00429145,0.004757503,0.001154873,0.00140701,0.003344483,0.002303205,0.002256666,0.005675757,0.000717438,0.005275512,0.001931729,0.000855923,0.001266247,0.001737131,0.003295732,0.000515043,0.000313748,6.00E-05,0.003806125,0.00161713,0.003476917,0.002135299,0.003713893,0.000982107,0.002779028,0.000151516,0.004913846,0.001459027,0.000736075,0.001312873
0.004473786,0.017789543,0.003736127,0.002145182,0.015195159,0.003662887,0.002175933,0.002552229,0.010487596,0.000797752,0.001300695,0.00156634,0.015033483,0.012909991,0.002484541,0.01008474,0.000550589,0.008146934,0.009537422,0.000130068,0.001982583,0.006779626,0.003926346,0.008151475,0.00120172,0.00191762,0.000133005,0.003638833,0.002013159,0.000400031,0.001775006,0.000904568,0.00120784,0.001268439,0.000881298,0.000877836,0.001202043,0.000396705,0.000898883,0.001774507,0.004777262,0.007696369,0.004297767,0.002642989,0.000846474,0.000395599,0.001066248,0.002056279,0.002255008,0.0090589
0.010668707,0.004182303,0.005458656,0.0094247,0.004213421,0.008219222,0.000977204,0.000977076,0.001564748,0.001358161,0.00093028,0.000362851,0.010178437,0.008271152,0.001647744,0.002773555,0.008049212,0.001582423,0.003378343,0.000439784,0.004807871,0.005903595,0.001005487,0.002942809,0.003822998,0.003888233,0.00037965,7.92E-05,0.000560724,0.004139183,0.002240468,0.001642991,0.003381975,0.001191011,0.006048825,0.000526681,0.000726643,0.00063126,0.003808519,0.001140776,0.000440456,0.003529498,0.003187412,0.003304812,0.000800731,0.000680556,0.001675001,0.000459069,0.001884428,0.001931402
0.004573621,0.010840249,0.002181023,0.001946458,0.010809691,0.002000029,0.001740407,0.000969241,0.00343242,0.010131249,0.009693951,0.000879926,0.009181502,0.007727533,0.010915182,0.001722286,0.002722403,0.003120686,0.0006424,0.000973302,0.002691813,0.001923334,0.0036401,0.00135998,0.001446532,0.000390776,0.012359382,0.001723906,0.00228443,0.001596585,0.002881509,0.00219196,0.004194793,0.000525685,0.004207558,0.000770006,0.000539288,0.000534127,0.000824009,0.002967204,0.003844894,0.008245188,0.00034623,0.00251794,0.006215696,0.002145939,0.004368447,0.002241963,0.002883015,0.000368108
