,Classifier,Preprocessing,Noise,Training_Time_in_sec,Accuracy,Top_2_accuracy,Top_3_accuracy,Top_5_accuracy,Top_10_accuracy,Precision,Recall
adaboost_standard_scalar_0,adaboost,standard_scalar,0,83.66780686,0.360424028,0.557126031,0.666666667,0.802120141,0.922261484,0.360424028,0.360424028
adaboost_standard_scalar_1e-10,adaboost,standard_scalar,1.00E-10,86.6636579,0.409893993,0.597173145,0.673733804,0.780918728,0.90459364,0.409893993,0.409893993
adaboost_standard_scalar_1e-09,adaboost,standard_scalar,1.00E-09,93.78415799,0.40753828,0.568904594,0.680800942,0.811542992,0.922261484,0.40753828,0.40753828
adaboost_standard_scalar_1e-08,adaboost,standard_scalar,1.00E-08,153.9656539,0.405182568,0.603062426,0.717314488,0.832744405,0.921083628,0.405182568,0.405182568
adaboost_standard_scalar_1e-07,adaboost,standard_scalar,1.00E-07,276.8961453,0.315665489,0.502944641,0.616018846,0.745583039,0.876325088,0.315665489,0.315665489
adaboost_standard_scalar_1e-06,adaboost,standard_scalar,1.00E-06,444.1643391,0.229681979,0.414605418,0.535924617,0.699646643,0.870435807,0.229681979,0.229681979
adaboost_standard_scalar_1e-05,adaboost,standard_scalar,1.00E-05,626.540607,0.244994111,0.387514723,0.507656066,0.651354535,0.80565371,0.244994111,0.244994111
adaboost_standard_scalar_0.0001,adaboost,standard_scalar,0.0001,942.641485,0.221436985,0.369846879,0.481743227,0.61130742,0.799764429,0.221436985,0.221436985
adaboost_standard_scalar_0.001,adaboost,standard_scalar,0.001,1187.614844,0.217903416,0.389870436,0.467608952,0.583038869,0.771495878,0.217903416,0.217903416
adaboost_standard_scalar_0.01,adaboost,standard_scalar,0.01,1176.616242,0.240282686,0.419316843,0.52532391,0.669022379,0.804475854,0.240282686,0.240282686
adaboost_standard_scalar_0.1,adaboost,standard_scalar,0.1,1213.553769,0.243816254,0.448763251,0.531213192,0.641931684,0.797408716,0.243816254,0.243816254
adaboost_standard_scalar_1,adaboost,standard_scalar,1,1202.172409,0.276796231,0.447585395,0.530035336,0.630153121,0.760895171,0.276796231,0.276796231
adaboost_standard_scalar_10,adaboost,standard_scalar,10,1203.991658,0.182567727,0.345111896,0.473498233,0.52532391,0.661955241,0.182567727,0.182567727
adaboost_standard_scalar_100,adaboost,standard_scalar,100,1235.007625,0.182567727,0.209658422,0.368669022,0.535924617,0.684334511,0.182567727,0.182567727
adaboost_standard_scalar_1000,adaboost,standard_scalar,1000,1215.453217,0.159010601,0.199057715,0.249705536,0.402826855,0.664310954,0.159010601,0.159010601
decision_tree_binary_0,decision_tree,binary,0,0.84552598,0.666666667,0.672555948,0.673733804,0.681978799,0.699646643,0.666666667,0.666666667
decision_tree_binary_1e-10,decision_tree,binary,1.00E-10,4.704461813,0.652532391,0.658421673,0.659599529,0.667844523,0.684334511,0.652532391,0.652532391
