,Classifier,Preprocessing,Noise,Training_Time_in_sec,Accuracy,Top_2_accuracy,Top_3_accuracy,Top_5_accuracy,Top_10_accuracy,Precision,Recall
adaboost_binary_0,adaboost,binary,0.0,52.044398069381714,0.3003533568904594,0.5053003533568905,0.6207302709069493,0.7632508833922261,0.9022379269729093,0.3003533568904594,0.3003533568904594
adaboost_binary_1e-10,adaboost,binary,1e-10,385.8878161907196,0.32626619552414604,0.5147232037691402,0.6254416961130742,0.7644287396937574,0.9163722025912838,0.32626619552414604,0.32626619552414604
adaboost_binary_1e-09,adaboost,binary,1e-09,470.54898381233215,0.41460541813898705,0.5736160188457008,0.6796230859835101,0.8032979976442874,0.9305064782096584,0.41460541813898705,0.41460541813898705
adaboost_binary_1e-08,adaboost,binary,1e-08,390.90562891960144,0.3674911660777385,0.5559481743227326,0.6749116607773852,0.7997644287396938,0.8963486454652533,0.3674911660777385,0.3674911660777385
adaboost_binary_1e-07,adaboost,binary,1e-07,432.7276520729065,0.3627797408716137,0.5547703180212014,0.6513545347467609,0.7879858657243817,0.9081272084805654,0.3627797408716137,0.3627797408716137
adaboost_binary_1e-06,adaboost,binary,1e-06,492.94962096214294,0.287396937573616,0.4911660777385159,0.6195524146054181,0.7502944640753828,0.8904593639575972,0.287396937573616,0.287396937573616
adaboost_binary_1e-05,adaboost,binary,1e-05,569.1303541660309,0.18374558303886926,0.31566548881036516,0.40518256772673733,0.574793875147232,0.7809187279151943,0.18374558303886926,0.18374558303886926
adaboost_binary_0.0001,adaboost,binary,0.0001,883.9065678119659,0.22614840989399293,0.4016489988221437,0.5041224970553593,0.6101295641931684,0.7597173144876325,0.22614840989399293,0.22614840989399293
adaboost_binary_0.001,adaboost,binary,0.001,1123.331715106964,0.30153121319199055,0.4534746760895171,0.5429917550058893,0.6525323910482921,0.7797408716136631,0.30153121319199055,0.30153121319199055
adaboost_binary_0.01,adaboost,binary,0.01,1178.4477171897888,0.18138987043580684,0.3462897526501767,0.46878680800942285,0.6136631330977621,0.767962308598351,0.18138987043580684,0.18138987043580684
adaboost_binary_0.1,adaboost,binary,0.1,1214.061175107956,0.2697290930506478,0.41460541813898705,0.5217903415783275,0.6266195524146054,0.7809187279151943,0.2697290930506478,0.2697290930506478
adaboost_binary_1,adaboost,binary,1.0,1189.8199169635773,0.15901060070671377,0.3415783274440518,0.38044758539458184,0.4334511189634865,0.6584216725559482,0.15901060070671377,0.15901060070671377
