,Classifier,Preprocessing,Noise,Training_Time_in_sec,Accuracy,Top_2_accuracy,Top_3_accuracy,Top_5_accuracy,Top_10_accuracy,Precision,Recall
adaboost_binary_0,adaboost,binary,0.0,28.950769186019897,0.6140142517814727,0.830166270783848,0.9382422802850356,0.996437054631829,1.0,0.6140142517814727,0.6140142517814727
adaboost_binary_1e-10,adaboost,binary,1e-10,116.64685893058777,0.6128266033254157,0.832541567695962,0.9275534441805225,0.997624703087886,1.0,0.6128266033254157,0.6128266033254157
adaboost_binary_1e-09,adaboost,binary,1e-09,111.62438082695007,0.5475059382422803,0.8147268408551069,0.9382422802850356,0.995249406175772,1.0,0.5475059382422803,0.5475059382422803
adaboost_binary_1e-08,adaboost,binary,1e-08,109.6975929737091,0.6270783847980997,0.9097387173396675,0.9798099762470309,0.998812351543943,1.0,0.6270783847980997,0.6270783847980997
adaboost_binary_1e-07,adaboost,binary,1e-07,107.00189805030823,0.6116389548693587,0.8954869358669834,0.9726840855106889,0.998812351543943,1.0,0.6116389548693587,0.6116389548693587
adaboost_binary_1e-06,adaboost,binary,1e-06,140.66531205177307,0.5973871733966746,0.8634204275534442,0.9608076009501187,0.9928741092636579,1.0,0.5973871733966746,0.5973871733966746
adaboost_binary_1e-05,adaboost,binary,1e-05,132.45451307296753,0.42042755344418054,0.7292161520190024,0.9239904988123515,0.9904988123515439,1.0,0.42042755344418054,0.42042755344418054
adaboost_binary_0.0001,adaboost,binary,0.0001,148.9054298400879,0.46080760095011875,0.6116389548693587,0.8194774346793349,0.982185273159145,1.0,0.46080760095011875,0.46080760095011875
adaboost_binary_0.001,adaboost,binary,0.001,167.94697380065918,0.5415676959619953,0.7672209026128266,0.8408551068883611,0.9418052256532067,1.0,0.5415676959619953,0.5415676959619953
adaboost_binary_0.01,adaboost,binary,0.01,157.27348399162292,0.37410926365795727,0.7351543942992874,0.8491686460807601,0.982185273159145,1.0,0.37410926365795727,0.37410926365795727
