Taxonomic_classification,Name,Classifier,Preprocessing,Noise,Training_Time_in_sec,Accuracy,Top_2_accuracy,Top_3_accuracy,Top_5_accuracy,Top_10_accuracy,Precision,Recall
phylum,extra_tree_binary,extra_tree,binary,0,1.006789207,0.777777778,0.861111111,0.888888889,1,1,0.777777778,0.777777778
phylum,extra_tree_binary,extra_tree,binary,1.00E-10,1.039057732,0.75,0.861111111,0.916666667,1,1,0.75,0.75
phylum,extra_tree_binary,extra_tree,binary,1.00E-09,1.021268129,0.777777778,0.861111111,0.916666667,0.972222222,1,0.777777778,0.777777778
phylum,extra_tree_binary,extra_tree,binary,1.00E-08,1.03023386,0.777777778,0.833333333,0.944444444,0.972222222,1,0.777777778,0.777777778
phylum,extra_tree_binary,extra_tree,binary,1.00E-07,1.156894207,0.694444444,0.861111111,0.888888889,0.972222222,1,0.694444444,0.694444444
phylum,extra_tree_binary,extra_tree,binary,1.00E-06,1.17229104,0.694444444,0.833333333,0.861111111,0.972222222,1,0.694444444,0.694444444
phylum,extra_tree_binary,extra_tree,binary,1.00E-05,1.171560287,0.694444444,0.833333333,0.888888889,0.972222222,1,0.694444444,0.694444444
phylum,extra_tree_binary,extra_tree,binary,0.0001,1.220914364,0.722222222,0.833333333,0.861111111,0.972222222,1,0.722222222,0.722222222
phylum,extra_tree_binary,extra_tree,binary,0.001,1.167622328,0.75,0.833333333,0.861111111,0.972222222,1,0.75,0.75
phylum,extra_tree_binary,extra_tree,binary,0.01,1.168188095,0.722222222,0.833333333,0.888888889,0.972222222,1,0.722222222,0.722222222
phylum,extra_tree_binary,extra_tree,binary,0.1,1.18524766,0.611111111,0.805555556,0.861111111,0.916666667,1,0.611111111,0.611111111
phylum,extra_tree_binary,extra_tree,binary,1,1.244910002,0.388888889,0.5,0.611111111,0.777777778,1,0.388888889,0.388888889
phylum,extra_tree_binary,extra_tree,binary,10,1.249688625,0.166666667,0.277777778,0.555555556,0.777777778,1,0.166666667,0.166666667
phylum,extra_tree_binary,extra_tree,binary,100,1.248114824,0.166666667,0.416666667,0.555555556,0.777777778,1,0.166666667,0.166666667
phylum,extra_tree_binary,extra_tree,binary,1000,1.252454758,0.166666667,0.416666667,0.555555556,0.777777778,1,0.166666667,0.166666667
class,mixed_total_sum,mixed,total_sum,0,2.898409605,0.805555556,0.833333333,0.888888889,0.944444444,1,0.805555556,0.805555556
class,mixed_total_sum,mixed,total_sum,1.00E-10,3.243489504,0.805555556,0.833333333,0.861111111,0.972222222,1,0.805555556,0.805555556
class,mixed_total_sum,mixed,total_sum,1.00E-09,3.192035198,0.805555556,0.833333333,0.888888889,0.944444444,1,0.805555556,0.805555556
class,mixed_total_sum,mixed,total_sum,1.00E-08,3.071294546,0.805555556,0.833333333,0.861111111,0.944444444,1,0.805555556,0.805555556
class,mixed_total_sum,mixed,total_sum,1.00E-07,3.369776011,0.805555556,0.833333333,0.888888889,0.916666667,1,0.805555556,0.805555556
class,mixed_total_sum,mixed,total_sum,1.00E-06,4.32150507,0.805555556,0.833333333,0.888888889,0.944444444,1,0.805555556,0.805555556
class,mixed_total_sum,mixed,total_sum,1.00E-05,5.858032703,0.805555556,0.833333333,0.888888889,0.972222222,1,0.805555556,0.805555556
